Naziv,Adresa,Kategorija
"Podravka d.d - Tvornica voća i povrća (Kalnik)","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Podravka d.d. - Tvornica dječje hrane i kremnih namaza","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Podravka d.d. - Tvornica mesnih proizvoda","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Podravka d.d. - Tvornica slastica, snacka i žitarica","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Podravka d.d. - Tvornica Vegete, juha i tjestenine","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Podravka d.d. - Tvornica Voće","Ul. Ante Starčevića 32, 48000, Koprivnica, Croatia",Proizvođači
"Prodan tartufi d.o.o.","Prašćari 38, 52420, Buzet",Proizvođači
"Produkt Komerc d.o.o.","Heki, Croatia",Klaonice
"Ribarska zadruga Friška riba","Put Brižina 5, 21212, Kaštel Sućurac, Hrvatska",Trgovina
"Sheraton Zagreb Hotel","Trg Krešimira Ćosića 9, 10000, Zagreb, Croatia",Hotelijeri
"Škokić d.o.o.","Put Strinje 68, 21212, Kaštel Sućurac, Croatia",Klaonice
"Studio Nine d.o.o.","Radnička cesta 20 A, Zagreb, Hrvatska","Turističke agencije"
"Svježa hrana d.o.o.","Horvatova 37, 10000, Zagreb, Hrvatska","Restorani i catering"
"TLK Ekologija d.o.o.","Ul. bana Josipa Jelačića 25, 10410, Velika Gorica, Hrvatska",Proizvođači
"Toplice Sveti Martin d.d.- Hotel Spa Golfer","Izvorska 3, 40313, Sveti Martin na Muri, Croatia","Zdravstvene ustanove i SPA"
"Tvornica ulja Vinkovci d.o.o.","Šokačka ulica 26, 32100 Vinkovci",Proizvođači
"Valipile d.o.o.","Ive Polite 62, Sesvetski Kraljevec (Zagreb), Croatia",Proizvođači
"Vindija d.d.","Gospodarska ulica 27, 42 000 Varaždin, Hrvatska",Proizvođači
"Vindija d.d.","Mladena Ćatića 1, 32270 Županja",Proizvođači
"Vindija d.d.","Jalkovečka ulica 36, 42000 Varaždin, Hrvatska",Proizvođači
"Vindija d.d.","Međimurska 6, 42000 Varaždin, Hrvatska",Proizvođači
"Vindon d.o.o.","Lučka ul. 4, 35000, Slavonski Brod, Croatia",Klaonice
"ViR 1898. Mesna industrija d.d.","Školjić ul. 16, 51000, Rijeka, Croatia",Klaonice
"Vodice d.o.o.","Put Gaćeleza 1, 22211, Vodice, Hrvatska",Proizvođači
"Westin Zagreb Hotel","Ul. Izidora Kršnjavog 1, 10000, Zagreb, Croatia",Hotelijeri
"Zagreb City Hotels d.o.o.","Ulica grada Vukovara 269a , 10000 Zagreb",Hotelijeri
"Zdenka-mliječni proizvodi d.o.o.","Trg kralja Tomislava 15, 43293, Veliki Zdenci, Croatia",Proizvođači
"Žitoproizvod d.d. Karlovac","Banija ul. 69, 47000, Karlovac, Croatia",Proizvođači
"Zvijezda plus d.o.o.","Ulica Marijana Čavića 1, 10 000, Zagreb",Proizvođači
"Zvona usluge d.o.o.","Busovačka ul. 19, 10000, Zagreb, Croatia","Restorani i catering"
